file,ddb_off,field_off,u32_le,u16_lo,ascii8_if_text
w95/extract/us/mdmgr.vxd,0x1320,0x00,0x00000000,0x0000,
w95/extract/us/mdmgr.vxd,0x1320,0x04,0x00000400,0x0400,
w95/extract/us/mdmgr.vxd,0x1320,0x08,0x00000001,0x0001,
w95/extract/us/mdmgr.vxd,0x1320,0x0c,0x474d444d,0x444d,MDMGR
w95/extract/us/mdmgr.vxd,0x1320,0x10,0x20202052,0x2052,
w95/extract/us/mdmgr.vxd,0x1320,0x14,0x80000000,0x0000,
w95/extract/us/mdmgr.vxd,0x1320,0x18,0x00000000,0x0000,
w95/extract/us/mdmgr.vxd,0x1320,0x1c,0x00000000,0x0000,
w95/extract/us/mdmgr.vxd,0x1320,0x20,0x00000000,0x0000,
w95/extract/us/mdmgr.vxd,0x1320,0x24,0x00000000,0x0000,
w95/extract/us/mdmgr.vxd,0x1320,0x28,0x00000000,0x0000,
w95/extract/us/mdmgr.vxd,0x1320,0x2c,0x00000000,0x0000,
w95/extract/us/mdmgr.vxd,0x1320,0x30,0x00000000,0x0000,
w95/extract/us/mdmgr.vxd,0x1320,0x34,0x00000000,0x0000,
w95/extract/us/mdmgr.vxd,0x1320,0x38,0x00000000,0x0000,
w95/extract/us/mdmgr.vxd,0x1320,0x3c,0x50726576,0x6576,
w95/extract/us/mdhlp.vxd,0x12bc,0x00,0x00000000,0x0000,
w95/extract/us/mdhlp.vxd,0x12bc,0x04,0x00000400,0x0400,
w95/extract/us/mdhlp.vxd,0x12bc,0x08,0x00000004,0x0004,
w95/extract/us/mdhlp.vxd,0x12bc,0x0c,0x6c48444d,0x444d,MDHlp
w95/extract/us/mdhlp.vxd,0x12bc,0x10,0x20202070,0x2070,
w95/extract/us/mdhlp.vxd,0x12bc,0x14,0x80000000,0x0000,
w95/extract/us/mdhlp.vxd,0x12bc,0x18,0x00000000,0x0000,
w95/extract/us/mdhlp.vxd,0x12bc,0x1c,0x00000000,0x0000,
w95/extract/us/mdhlp.vxd,0x12bc,0x20,0x00000000,0x0000,
w95/extract/us/mdhlp.vxd,0x12bc,0x24,0x00000000,0x0000,
w95/extract/us/mdhlp.vxd,0x12bc,0x28,0x00000000,0x0000,
w95/extract/us/mdhlp.vxd,0x12bc,0x2c,0x00000000,0x0000,
w95/extract/us/mdhlp.vxd,0x12bc,0x30,0x00000000,0x0000,
w95/extract/us/mdhlp.vxd,0x12bc,0x34,0x00000000,0x0000,
w95/extract/us/mdhlp.vxd,0x12bc,0x38,0x00000000,0x0000,
w95/extract/us/mdhlp.vxd,0x12bc,0x3c,0x50726576,0x6576,
w95/extract/us/mdfsd.vxd,0x6200,0x00,0x00000000,0x0000,
w95/extract/us/mdfsd.vxd,0x6200,0x04,0x00000400,0x0400,
w95/extract/us/mdfsd.vxd,0x6200,0x08,0x00000001,0x0001,
w95/extract/us/mdfsd.vxd,0x6200,0x0c,0x5346444d,0x444d,MDFSD
w95/extract/us/mdfsd.vxd,0x6200,0x10,0x20202044,0x2044,
w95/extract/us/mdfsd.vxd,0x6200,0x14,0xa0010100,0x0100,
w95/extract/us/mdfsd.vxd,0x6200,0x18,0x00000000,0x0000,
w95/extract/us/mdfsd.vxd,0x6200,0x1c,0x00000000,0x0000,
w95/extract/us/mdfsd.vxd,0x6200,0x20,0x00000000,0x0000,
w95/extract/us/mdfsd.vxd,0x6200,0x24,0x00000000,0x0000,
w95/extract/us/mdfsd.vxd,0x6200,0x28,0x00000000,0x0000,
w95/extract/us/mdfsd.vxd,0x6200,0x2c,0x00000000,0x0000,
w95/extract/us/mdfsd.vxd,0x6200,0x30,0x00000000,0x0000,
w95/extract/us/mdfsd.vxd,0x6200,0x34,0x00000000,0x0000,
w95/extract/us/mdfsd.vxd,0x6200,0x38,0x00000000,0x0000,
w95/extract/us/mdfsd.vxd,0x6200,0x3c,0x50726576,0x6576,
