call_mem,fmt_off,fmt_mem,fmt_text,pushed_globals_before_call
0x0673,0x2b1,0xdf81,"  Identifier: %s
",
0x0685,0x2c3,0xdf93,"  Version: %d
",
0x0695,0x2d2,0xdfa2,"  BlockSize: %d bytes
",0x5b40
0x06a5,0x2e9,0xdfb9,"  ClusterSize: %d sectors
","0x5b40,0x5b42"
0x06b5,0x304,0xdfd4,"  AllocSize: %d sectors
","0x5b42,0x5b44"
0x06c9,0x31d,0xdfed,"  NumAlloc: %ld allocation units
","0x5b44,0x5b4a,0x5b48"
0x06dd,0x33f,0xe00f,"  NumRecordable: %ld allocation units
","0x5b4a,0x5b48,0x5b4e,0x5b4c"
0x06f1,0x366,0xe036,"  NumAvaiable: %ld allocation units
","0x5b4e,0x5b4c,0x5b52,0x5b50"
0x0705,0x38b,0xe05b,"  NumUsed: %ld allocation units
","0x5b52,0x5b50,0x5b56,0x5b54"
0x0719,0x3ac,0xe07c,"  NumDefective: %d allocation units
","0x5b56,0x5b54,0x5b5a,0x5b58"
0x0729,0x3d1,0xe0a1,"  NumDir: %d directories
","0x5b5a,0x5b58,0x5b60"
0x0739,0x3eb,0xe0bb,"  NumFile: %d files
","0x5b60,0x5b62"
0x074d,0x400,0xe0d0,"  MaxIdNum: %d
","0x5b62,0x5b66,0x5b64"
0x075d,0x410,0xe0e0,  VolAttr: %04x ,"0x5b66,0x5b64,0x5b68"
0x077c,0x421,0xe0f1,"  VMALen: %ld
","0x5b68,0x5b6e,0x5b6c"
0x0790,0x430,0xe100,"  VMALoc: %ld
","0x5b6e,0x5b6c,0x5b72,0x5b70"
0x07a0,0x43f,0xe10f,"  VSBLoc: %d
","0x5b72,0x5b70,0x5b74"
0x07b0,0x44d,0xe11d,"  VSBNum: %d
","0x5b74,0x5b76"
0x07c0,0x45b,0xe12b,"  MTBLoc: %d
","0x5b76,0x5b78"
0x07d0,0x469,0xe139,"  MTBNum: %d
","0x5b78,0x5b7a"
0x07e0,0x477,0xe147,"  ERBLoc: %d
","0x5b7a,0x5b7c"
0x07f0,0x485,0xe155,"  ERBNum: %d
","0x5b7c,0x5b7e"
0x0800,0x493,0xe163,"  DRBLoc: %d
","0x5b7e,0x5b80"
0x0810,0x4a1,0xe171,"  DRBNum: %d
","0x5b80,0x5b82"
0x0824,0x4af,0xe17f,"  DirLen: %ld
","0x5b82,0x5b86,0x5b84"
0x0834,0x4be,0xe18e,"  NumChild: %d
","0x5b86,0x5b84,0x5b88"
