file,page_index_1based,raw,physical_page,file_off
w95/extract/us/mdmgr.vxd,1,65536,1,4096
w95/extract/us/mdmgr.vxd,2,131072,2,4608
w95/extract/us/mdmgr.vxd,3,196608,3,5120
w95/extract/us/mdmgr.vxd,4,262144,4,5632
w95/extract/us/mdmgr.vxd,5,327680,5,6144
w95/extract/us/mdmgr.vxd,6,393216,6,6656
w95/extract/us/mdmgr.vxd,7,458752,7,7168
w95/extract/us/mdmgr.vxd,8,524288,8,7680
w95/extract/us/mdmgr.vxd,9,589824,9,8192
w95/extract/us/mdmgr.vxd,10,655360,10,8704
w95/extract/us/mdmgr.vxd,11,720896,11,9216
w95/extract/us/mdmgr.vxd,12,786432,12,9728
w95/extract/us/mdmgr.vxd,13,851968,13,10240
w95/extract/us/mdmgr.vxd,14,917504,14,10752
w95/extract/us/mdmgr.vxd,15,983040,15,11264
w95/extract/us/mdmgr.vxd,16,1048576,16,11776
w95/extract/us/mdmgr.vxd,17,1114112,17,12288
w95/extract/us/mdmgr.vxd,18,1179648,18,12800
w95/extract/us/mdmgr.vxd,19,1245184,19,13312
w95/extract/us/mdmgr.vxd,20,1310720,20,13824
w95/extract/us/mdmgr.vxd,21,1376256,21,14336
w95/extract/us/mdmgr.vxd,22,1441792,22,14848
w95/extract/us/mdmgr.vxd,23,1507328,23,15360
w95/extract/us/mdmgr.vxd,24,1572864,24,15872
w95/extract/us/mdhlp.vxd,1,65536,1,4096
w95/extract/us/mdhlp.vxd,2,131072,2,4608
w95/extract/us/mdhlp.vxd,3,196608,3,5120
w95/extract/us/mdhlp.vxd,4,262144,4,5632
w95/extract/us/mdhlp.vxd,5,327680,5,6144
w95/extract/us/mdhlp.vxd,6,393216,6,6656
w95/extract/us/mdhlp.vxd,7,458752,7,7168
w95/extract/us/mdhlp.vxd,8,524288,8,7680
w95/extract/us/mdhlp.vxd,9,589824,9,8192
w95/extract/us/mdhlp.vxd,10,655360,10,8704
w95/extract/us/mdhlp.vxd,11,720896,11,9216
w95/extract/us/mdhlp.vxd,12,786432,12,9728
w95/extract/us/mdhlp.vxd,13,851968,13,10240
w95/extract/us/mdhlp.vxd,14,917504,14,10752
w95/extract/us/mdfsd.vxd,1,65536,1,4096
w95/extract/us/mdfsd.vxd,2,131072,2,4608
w95/extract/us/mdfsd.vxd,3,196608,3,5120
w95/extract/us/mdfsd.vxd,4,262144,4,5632
w95/extract/us/mdfsd.vxd,5,327680,5,6144
w95/extract/us/mdfsd.vxd,6,393216,6,6656
w95/extract/us/mdfsd.vxd,7,458752,7,7168
w95/extract/us/mdfsd.vxd,8,524288,8,7680
w95/extract/us/mdfsd.vxd,9,589824,9,8192
w95/extract/us/mdfsd.vxd,10,655360,10,8704
w95/extract/us/mdfsd.vxd,11,720896,11,9216
w95/extract/us/mdfsd.vxd,12,786432,12,9728
w95/extract/us/mdfsd.vxd,13,851968,13,10240
w95/extract/us/mdfsd.vxd,14,917504,14,10752
w95/extract/us/mdfsd.vxd,15,983040,15,11264
w95/extract/us/mdfsd.vxd,16,1048576,16,11776
w95/extract/us/mdfsd.vxd,17,1114112,17,12288
w95/extract/us/mdfsd.vxd,18,1179648,18,12800
w95/extract/us/mdfsd.vxd,19,1245184,19,13312
w95/extract/us/mdfsd.vxd,20,1310720,20,13824
w95/extract/us/mdfsd.vxd,21,1376256,21,14336
w95/extract/us/mdfsd.vxd,22,1441792,22,14848
w95/extract/us/mdfsd.vxd,23,1507328,23,15360
w95/extract/us/mdfsd.vxd,24,1572864,24,15872
