file,base,record_index,record_off,d0,op,idx,handler16
w31/extract/mdcache.exe,0x0d0ac,0,0x0d0ba,0x00000209,0x0209,0,0x0818
w31/extract/mdcache.exe,0x0d0ac,1,0x0d0ce,0x0001020a,0x020a,1,0x082c
w31/extract/mdcache.exe,0x0d0ac,2,0x0d0e2,0x00020202,0x0202,2,0x0840
w31/extract/mdcache.exe,0x0d0ac,3,0x0d0f6,0x00030243,0x0243,3,0x0854
w31/extract/mdcache.exe,0x0d0ac,4,0x0d10a,0x00040242,0x0242,4,0x0868
w31/extract/mdformat.exe,0x1a01e,0,0x1a02c,0x00000209,0x0209,0,0x135a
w31/extract/mdformat.exe,0x1a01e,1,0x1a040,0x0001020a,0x020a,1,0x136e
w31/extract/mdformat.exe,0x1a01e,2,0x1a054,0x00020202,0x0202,2,0x1382
w31/extract/mdformat.exe,0x1a01e,3,0x1a068,0x00030243,0x0243,3,0x1396
w31/extract/mdformat.exe,0x1a01e,4,0x1a07c,0x00040242,0x0242,4,0x13aa
